System,Site,Process,Condition,ICM V4.0,ICM V3.1 Surgical,ICM V3.1 Non-surgical,Unique code,APII code
Cardiovascular,Thoracic aorta,"Non-traumatic aneurysm, dissection or rupture","Thoracoabdominal aortic aneurysm, not ruptured",2.6.57.5,1.2.6.57.5,2.2.6.57.5,CA153,C12
Cardiovascular,Thoracic aorta,Congenital or acquired deformity or abnormality,Coarctation of aorta,2.6.8.1,1.2.6.8.1,2.2.6.8.1,CA28,C14
Cardiovascular,Thoracic aorta,Congenital or acquired deformity or abnormality,Marfan's syndrome,2.6.8.2,1.2.6.8.2,2.2.6.8.2,CA80,C14
Cardiovascular,Thoracic aorta,Congenital or acquired deformity or abnormality,Congenital abnormality of aortic arch,2.6.8.3,1.2.6.8.3,2.2.6.8.3,CA30,C14
Cardiovascular,Thoracic aorta,Congenital or acquired deformity or abnormality,Transposition of great arteries,2.6.8.4,1.2.6.8.4,2.2.6.8.4,CA95,C14
Cardiovascular,Thoracic aorta,Congenital or acquired deformity or abnormality,Truncus arteriosus,2.6.8.5,1.2.6.8.5,2.2.6.8.5,CA119,C14
Cardiovascular,Thoracic aorta,Congenital or acquired deformity or abnormality,Patent ductus arteriosus,2.6.8.6,1.2.6.8.6,2.2.6.8.6,RE88,C14
Cardiovascular,Splanchnic or renal vessels,Obstruction,Renal artery stenosis or occlusion,2.8.30.1,1.2.8.30.1,2.2.8.30.1,GE65,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Visceral infarction due to primary vascular disease,2.8.30.10,1.2.8.30.10,2.2.8.30.10,CA128,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,"Small bowel infarction due to herniation, volvulus or adhesions",2.8.30.11,1.2.8.30.11,2.2.8.30.11,GA120,G26
Cardiovascular,Splanchnic or renal vessels,Obstruction,Portal hypertension,2.8.30.12,1.2.8.30.12,2.2.8.30.12,GA107,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Renal vein thrombosis,2.8.30.13,1.2.8.30.13,2.2.8.30.13,CA166,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Renal artery embolus,2.8.30.2,1.2.8.30.2,2.2.8.30.2,GE45,K13
Cardiovascular,Splanchnic or renal vessels,Obstruction,Renal infarction,2.8.30.3,1.2.8.30.3,2.2.8.30.3,GE46,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Renal artery aneurysm or dissection,2.8.30.4,1.2.8.30.4,2.2.8.30.4,GE44,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Hepatic artery stenosis or occlusion,2.8.30.5,1.2.8.30.5,2.2.8.30.5,GA209,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Portal vein occlusion or thrombosis,2.8.30.6,1.2.8.30.6,2.2.8.30.6,GA108,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Hepatic vein occlusion or thrombosis,2.8.30.7,1.2.8.30.7,2.2.8.30.7,GA187,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Visceral artery stenosis or occlusion,2.8.30.8,1.2.8.30.8,2.2.8.30.8,CA127,C12
Cardiovascular,Splanchnic or renal vessels,Obstruction,Visceral artery embolism,2.8.30.9,1.2.8.30.9,2.2.8.30.9,CA126,G13
Cardiovascular,Splanchnic or renal vessels,Trauma,Traumatic damage to renal vessels,2.8.56.1,1.2.8.56.1,2.2.8.56.1,GE69,K03
Cardiovascular,Splanchnic or renal vessels,Trauma,Traumatic damage to splanchnic vessels,2.8.56.2,1.2.8.56.2,2.2.8.56.2,GA145,G03
Cardiovascular,Splanchnic or renal vessels,Trauma,Instrumental damage to renal vessels,2.8.56.3,1.2.8.56.3,2.2.8.56.3,GE95,K03
Cardiovascular,Splanchnic or renal vessels,Trauma,Instrumental damage to splanchnic vessels,2.8.56.4,1.2.8.56.4,2.2.8.56.4,GA206,G03
Cardiovascular,Splanchnic or renal vessels,Trauma,Traumatic damage to hepatic vessels,2.8.56.5,1.2.8.56.5,2.2.8.56.5,GA216,G03
Cardiovascular,Splanchnic or renal vessels,Trauma,Instrumental damage to hepatic vessels,2.8.56.6,1.2.8.56.6,2.2.8.56.6,GA217,G03
Cardiovascular,Splanchnic or renal vessels,"Non-traumatic aneurysm, dissection, perforation or rupture",Non-traumatic perforation or rupture of splanchnic vessels,2.8.57.1,1.2.8.57.1,2.2.8.57.1,GA207,G26
Cardiovascular,Splanchnic or renal vessels,"Non-traumatic aneurysm, dissection, perforation or rupture",Renal artery aneurysm or dissection,2.8.57.2,1.2.8.57.2,2.2.8.57.2,GE44,C12
Cardiovascular,Splanchnic or renal vessels,"Non-traumatic aneurysm, dissection, perforation or rupture",Hepatic artery aneurysm,2.8.57.3,1.2.8.57.3,2.2.8.57.3,GA42,C12
Cardiovascular,Splanchnic or renal vessels,"Non-traumatic aneurysm, dissection, perforation or rupture",Splanchnic artery aneurysm or dissection,2.8.57.4,1.2.8.57.4,2.2.8.57.4,GA208,C12
Cardiovascular,Neck or extracranial vessels,Haemorrhage,Epistaxis,2.9.15.1,1.2.9.15.1,2.2.9.15.1,RE3,R23
Cardiovascular,Neck or extracranial vessels,Inflammation,Large vessel arteritis,2.9.28.1,1.2.9.28.1,2.2.9.28.1,CA148,C12
Cardiovascular,Neck or extracranial vessels,Obstruction,Carotid or vertebral artery stenosis or occlusion,2.9.30.1,1.2.9.30.1,2.2.9.30.1,NE89,C12
Cardiovascular,Neck or extracranial vessels,Tumour or malignancy,Carotid body tumour (Paraganglioma),2.9.39.1,1.2.9.39.1,2.2.9.39.1,CA146,C01
Cardiovascular,Neck or extracranial vessels,"Trauma (or traumatic aneurysm, dissection, rupture or puncture)",Traumatic rupture or puncture of carotid or vertebral artery,2.9.56.1,1.2.9.56.1,2.2.9.56.1,NE87,C03
Cardiovascular,Neck or extracranial vessels,"Trauma (or traumatic aneurysm, dissection, rupture or puncture)",Instrumental damage to carotid or vertebral artery,2.9.56.2,1.2.9.56.2,2.2.9.56.2,NE19,C03
Cardiovascular,Neck or extracranial vessels,"Trauma (or traumatic aneurysm, dissection, rupture or puncture)",Traumatic carotid or vertebral artery aneurysm or dissection,2.9.56.3,1.2.9.56.3,2.2.9.56.3,NE90,C03
Cardiovascular,Neck or extracranial vessels,"Non-traumatic aneurysm, dissection or rupture",Non-traumatic rupture of carotid or vertebral artery,2.9.57.1,1.2.9.57.1,2.2.9.57.1,NE88,C26
Cardiovascular,Neck or extracranial vessels,"Non-traumatic aneurysm, dissection or rupture",Non-traumatic carotid or vertebral artery aneurysm or dissection,2.9.57.2,1.2.9.57.2,2.2.9.57.2,NE91,C12
Cardiovascular,Neck or extracranial vessels,Congenital or acquired deformity or abnormality,Extracranial or neck arterio-venous malformation or haemangioma,2.9.8.1,1.2.9.8.1,2.2.9.8.1,CA13,C14
Gastrointestinal,Mouth or pharynx,Haemorrhage,Haemorrhage into upper airway,3.1.15.2,1.3.1.15.2,2.3.1.15.2,RE119,R23
Gastrointestinal,Mouth or pharynx,Haemorrhage,Tracheal haemorrhage,3.1.15.3,1.3.1.15.3,2.3.1.15.3,RE147,R23
Gastrointestinal,Mouth or pharynx,Infection,"Mandible, facial bones, dental or salivary infection",3.1.27.1,1.3.1.27.1,2.3.1.27.1,RE71,R01
Gastrointestinal,Mouth or pharynx,Infection,Tonsil or pharyngeal infection,3.1.27.2,1.3.1.27.2,2.3.1.27.2,GA114,R01
Gastrointestinal,Mouth or pharynx,Tumour or malignancy,Head or neck tumour not intraoral or intranasal,3.1.39.1,1.3.1.39.1,2.3.1.39.1,RE54,R02
Gastrointestinal,Mouth or pharynx,Tumour or malignancy,Malignant neoplasm of oropharynx,3.1.39.3,1.3.1.39.3,2.3.1.39.3,GA164,R02
Gastrointestinal,Mouth or pharynx,Tumour or malignancy,Malignant neoplasm of nasopharynx,3.1.39.4,1.3.1.39.4,2.3.1.39.4,GA162,R02
Gastrointestinal,Mouth or pharynx,Tumour or malignancy,Malignant neoplasm of hypopharynx,3.1.39.5,1.3.1.39.5,2.3.1.39.5,GA161,R02
Gastrointestinal,Mouth or pharynx,Trauma,"Trauma to mouth, mandible, pharynx or facial bones",3.1.56.1,1.3.1.56.1,2.3.1.56.1,NE50,R03
Gastrointestinal,Mouth or pharynx,Congenital or acquired deformity or abnormality,"Mouth, mandible, pharynx or facial bones deformity",3.1.8.1,1.3.1.8.1,2.3.1.8.1,NE25,R14
Gastrointestinal,Abdominal wall or peritoneum,Haemorrhage,Retroperitoneal haemorrhage,3.10.15.1,1.3.10.15.1,2.3.10.15.1,GE48,G23
Gastrointestinal,Abdominal wall or peritoneum,Infection,Primary peritonitis,3.10.27.1,1.3.10.27.1,2.3.10.27.1,GA110,G01
Gastrointestinal,Abdominal wall or peritoneum,Infection,Intra-peritoneal abscess (not pelvic),3.10.27.2,1.3.10.27.2,2.3.10.27.2,GA63,G01
Gastrointestinal,Abdominal wall or peritoneum,Infection,CAPD related peritonitis,3.10.27.3,1.3.10.27.3,2.3.10.27.3,GA16,G01
Gastrointestinal,Abdominal wall or peritoneum,Infection,Fournier's gangrene of abdominal wall,3.10.27.4,1.3.10.27.4,2.3.10.27.4,GA137,K01
Gastrointestinal,Abdominal wall or peritoneum,Infection,Necrotising fasciitis,3.10.27.5,1.3.10.27.5,2.3.10.27.5,DE7,G01
Gastrointestinal,Abdominal wall or peritoneum,Infection,Pelvic infection or abscess,3.10.27.6,1.3.10.27.6,2.3.10.27.6,GE36,K01
Gastrointestinal,Abdominal wall or peritoneum,Infection,Retroperitoneal abscess or infection,3.10.27.7,1.3.10.27.7,2.3.10.27.7,GA113,K01
Gastrointestinal,Abdominal wall or peritoneum,Infection,Tuberculous peritonitis,3.10.27.8,1.3.10.27.8,2.3.10.27.8,GA134,G01
Gastrointestinal,Abdominal wall or peritoneum,Infection,Device related abdominal wall infection,3.10.27.9,1.3.10.27.9,2.3.10.27.9,GA170,G01
Gastrointestinal,Abdominal wall or peritoneum,Tumour or malignancy,Primary retroperitoneal malignancy,3.10.39.1,1.3.10.39.1,2.3.10.39.1,GA111,G02
Gastrointestinal,Abdominal wall or peritoneum,Tumour or malignancy,Secondary retroperitoneal malignancy,3.10.39.2,1.3.10.39.2,2.3.10.39.2,GA117,G02
Gastrointestinal,Abdominal wall or peritoneum,Tumour or malignancy,Pseudomyxoma peritonei,3.10.39.3,1.3.10.39.3,2.3.10.39.3,GA171,G02
Gastrointestinal,Abdominal wall or peritoneum,Trauma (or traumatic rupture),Trauma to abdominal wall,3.10.56.1,1.3.10.56.1,2.3.10.56.1,MU34,G03
Gastrointestinal,Abdominal wall or peritoneum,Trauma (or traumatic rupture),Ruptured diaphragm,3.10.56.2,1.3.10.56.2,2.3.10.56.2,RE33,R03
Gastrointestinal,Abdominal wall or peritoneum,Non-traumatic rupture,Abdominal wound dehiscence,3.10.57.1,1.3.10.57.1,2.3.10.57.1,GA1,G26
Gastrointestinal,Abdominal wall or peritoneum,Congenital or acquired deformity or abnormality,Gastroschisis or exomphalos,3.10.8.2,1.3.10.8.2,2.3.10.8.2,GA40,G14
Gastrointestinal,Abdominal wall or peritoneum,Congenital or acquired deformity or abnormality,Diaphragmatic hernia,3.10.8.3,1.3.10.8.3,2.3.10.8.3,RE30,G14
Gastrointestinal,Abdominal wall or peritoneum,Congenital or acquired deformity or abnormality,Inguinal or femoral hernia,3.10.8.4,1.3.10.8.4,2.3.10.8.4,GA56,G26
Gastrointestinal,Abdominal wall or peritoneum,Congenital or acquired deformity or abnormality,Hernia not defined,3.10.8.5,1.3.10.8.5,2.3.10.8.5,GA99,G26
Gastrointestinal,Oesophagus,Haemorrhage,Oesophageal varices,3.2.15.1,1.3.2.15.1,2.3.2.15.1,GA93,G23
Gastrointestinal,Oesophagus,Haemorrhage,Mallory-Weiss or other tear,3.2.15.2,1.3.2.15.2,2.3.2.15.2,GA81,G23
Gastrointestinal,Oesophagus,Haemorrhage,Non-infective oesophagitis or oesophageal ulcers,3.2.15.4,1.3.2.15.4,2.3.2.15.4,GA94,G23
Gastrointestinal,Oesophagus,Haemorrhage,Haemorrhage from oesophageal vascular abnormality,3.2.15.5,1.3.2.15.5,2.3.2.15.5,GA172,G23
Gastrointestinal,Oesophagus,Haemorrhage,"Gastrointestinal haemorrhage, source not identified",3.2.15.6,1.3.2.15.6,2.3.2.15.6,GA173,G23
Gastrointestinal,Oesophagus,Haemorrhage,Traumatic oesophago-vascular fistula,3.2.15.7,1.3.2.15.7,2.3.2.15.7,GA212,G03
Gastrointestinal,Oesophagus,Haemorrhage,Non-traumatic oesophago-vascular fistula,3.2.15.8,1.3.2.15.8,2.3.2.15.8,GA213,G23
Gastrointestinal,Oesophagus,Infection,Infective oesophagitis,3.2.27.1,1.3.2.27.1,2.3.2.27.1,GA53,G01
Gastrointestinal,Oesophagus,Inflammation,Non-infective oesophagitis or oesophageal ulcers,3.2.28.1,1.3.2.28.1,2.3.2.28.1,GA94,G23
Gastrointestinal,Oesophagus,Inflammation,Chemical or thermal oesophageal burns,3.2.28.2,1.3.2.28.2,2.3.2.28.2,NE59,G36
Gastrointestinal,Oesophagus,Obstruction,Oesophageal atresia,3.2.30.1,1.3.2.30.1,2.3.2.30.1,GA90,G14
Gastrointestinal,Oesophagus,Obstruction,Non-traumatic oesophago-enteric or oesophago-cutaneous fistula,3.2.30.10,1.3.2.30.10,2.3.2.30.10,GA215,G26
Gastrointestinal,Oesophagus,Obstruction,Non-malignant stricture of oesophagus,3.2.30.2,1.3.2.30.2,2.3.2.30.2,GA85,G26
Gastrointestinal,Oesophagus,Obstruction,Malignant neoplasm of oesophagus,3.2.30.3,1.3.2.30.3,2.3.2.30.3,GA92,G02
Gastrointestinal,Oesophagus,Obstruction,Malignant neoplasm of oesophageal-gastric junction,3.2.30.6,1.3.2.30.6,2.3.2.30.6,GA163,G02
Gastrointestinal,Oesophagus,Obstruction,Traumatic oesophago-vascular fistula,3.2.30.7,1.3.2.30.7,2.3.2.30.7,GA212,G03
Gastrointestinal,Oesophagus,Obstruction,Non-traumatic oesophago-vascular fistula,3.2.30.8,1.3.2.30.8,2.3.2.30.8,GA213,G23
Gastrointestinal,Oesophagus,Obstruction,Traumatic oesophago-enteric or oesophago-cutaneous fistula,3.2.30.9,1.3.2.30.9,2.3.2.30.9,GA214,G03
Gastrointestinal,Oesophagus,Tumour or malignancy,Malignant neoplasm of oesophagus,3.2.39.1,1.3.2.39.1,2.3.2.39.1,GA92,G02
Gastrointestinal,Oesophagus,Tumour or malignancy,Malignant neoplasm of oesophageal-gastric junction,3.2.39.2,1.3.2.39.2,2.3.2.39.2,GA163,G02
Gastrointestinal,Oesophagus,Trauma (or traumatic fistula),Traumatic rupture of oesophagus,3.2.56.1,1.3.2.56.1,2.3.2.56.1,GA147,G03
Gastrointestinal,Oesophagus,Trauma (or traumatic fistula),Instrumental damage to oesophagus,3.2.56.2,1.3.2.56.2,2.3.2.56.2,GA59,G03
Gastrointestinal,Oesophagus,Trauma (or traumatic fistula),Traumatic tracheo-oesophageal fistula,3.2.56.3,1.3.2.56.3,2.3.2.56.3,GA210,R03
Gastrointestinal,Oesophagus,Trauma (or traumatic fistula),Traumatic oesophago-vascular fistula,3.2.56.4,1.3.2.56.4,2.3.2.56.4,GA212,G03
Gastrointestinal,Oesophagus,Trauma (or traumatic fistula),Traumatic oesophago-enteric or oesophago-cutaneous fistula,3.2.56.5,1.3.2.56.5,2.3.2.56.5,GA214,G03
Gastrointestinal,Oesophagus,"Non-traumatic perforation, rupture or fistula",Spontaneous rupture of oesophagus,3.2.57.1,1.3.2.57.1,2.3.2.57.1,GA125,G26
Gastrointestinal,Oesophagus,"Non-traumatic perforation, rupture or fistula",Non-traumatic perforation or rupture of oesophagus,3.2.57.2,1.3.2.57.2,2.3.2.57.2,GA191,G26
Gastrointestinal,Oesophagus,"Non-traumatic perforation, rupture or fistula",Leaking oesophageal anastomosis,3.2.57.3,1.3.2.57.3,2.3.2.57.3,GA142,G26
Gastrointestinal,Oesophagus,"Non-traumatic perforation, rupture or fistula",Non-traumatic tracheo-oesophageal fistula,3.2.57.4,1.3.2.57.4,2.3.2.57.4,GA211,R14
Gastrointestinal,Oesophagus,"Non-traumatic perforation, rupture or fistula",Non-traumatic oesophago-vascular fistula,3.2.57.5,1.3.2.57.5,2.3.2.57.5,GA213,G23
Gastrointestinal,Oesophagus,"Non-traumatic perforation, rupture or fistula",Non-traumatic oesophago-enteric or oesophago-cutaneous fistula,3.2.57.6,1.3.2.57.6,2.3.2.57.6,GA215,G26
Gastrointestinal,Oesophagus,Congenital or acquired deformity or abnormality,Oesophageal atresia,3.2.8.1,1.3.2.8.1,2.3.2.8.1,GA90,G14
Gastrointestinal,Oesophagus,Congenital or acquired deformity or abnormality,Achalasia,3.2.8.3,1.3.2.8.3,2.3.2.8.3,GA151,G26
Gastrointestinal,Oesophagus,Congenital or acquired deformity or abnormality,Barrett's oesophagus,3.2.8.4,1.3.2.8.4,2.3.2.8.4,GA155,G23
Gastrointestinal,Oesophagus,Congenital or acquired deformity or abnormality,Traumatic tracheo-oesophageal fistula,3.2.8.5,1.3.2.8.5,2.3.2.8.5,GA210,R03
Gastrointestinal,Oesophagus,Congenital or acquired deformity or abnormality,Non-traumatic tracheo-oesophageal fistula,3.2.8.6,1.3.2.8.6,2.3.2.8.6,GA211,R14
Gastrointestinal,Stomach,Haemorrhage,Haemorrhage from gastric ulcer or gastritis,3.3.15.1,1.3.3.15.1,2.3.3.15.1,GA14,G23
Gastrointestinal,Stomach,Haemorrhage,Haemorrhage from gastric varices,3.3.15.2,1.3.3.15.2,2.3.3.15.2,GA15,G23
Gastrointestinal,Stomach,Haemorrhage,Gastro-vascular fistula,3.3.15.3,1.3.3.15.3,2.3.3.15.3,GA39,G23
Gastrointestinal,Stomach,Haemorrhage,Haemorrhage from gastric tumour,3.3.15.4,1.3.3.15.4,2.3.3.15.4,GA174,G23
Gastrointestinal,Stomach,Haemorrhage,Haemorrhage from gastric vascular abnormality,3.3.15.5,1.3.3.15.5,2.3.3.15.5,GA175,G23
Gastrointestinal,Stomach,Haemorrhage,"Gastrointestinal haemorrhage, source not identified",3.3.15.6,1.3.3.15.6,2.3.3.15.6,GA173,G23
Gastrointestinal,Stomach,Obstruction,Pyloric obstruction,3.3.30.1,1.3.3.30.1,2.3.3.30.1,GA112,G26
Gastrointestinal,Stomach,Obstruction,Congenital pyloric stenosis,3.3.30.2,1.3.3.30.2,2.3.3.30.2,GA22,G26
Gastrointestinal,Stomach,Obstruction,Gastric herniation,3.3.30.3,1.3.3.30.3,2.3.3.30.3,GA34,G26
Gastrointestinal,Stomach,Obstruction,Gastric volvulus,3.3.30.4,1.3.3.30.4,2.3.3.30.4,GA38,G26
Gastrointestinal,Stomach,Obstruction,Gastric tumour,3.3.30.5,1.3.3.30.5,2.3.3.30.5,GA37,G02
Gastrointestinal,Stomach,Tumour or malignancy,Gastric tumour,3.3.39.1,1.3.3.39.1,2.3.3.39.1,GA37,G02
Gastrointestinal,Stomach,Vascular,Gastric infarction,3.3.41.1,1.3.3.41.1,2.3.3.41.1,GA35,G26
Gastrointestinal,Stomach,Trauma,Traumatic gastric rupture,3.3.56.1,1.3.3.56.1,2.3.3.56.1,GA130,G03
Gastrointestinal,Stomach,Trauma,Instrumental damage to stomach,3.3.56.2,1.3.3.56.2,2.3.3.56.2,GA62,G03
Gastrointestinal,Stomach,"Non-traumatic perforation, rupture or fistula",Non-traumatic gastric rupture,3.3.57.1,1.3.3.57.1,2.3.3.57.1,GA87,G26
Gastrointestinal,Stomach,"Non-traumatic perforation, rupture or fistula",Gastric perforation due to ulcers,3.3.57.2,1.3.3.57.2,2.3.3.57.2,GA36,G26
Gastrointestinal,Stomach,"Non-traumatic perforation, rupture or fistula",Leaking gastric anastomosis,3.3.57.3,1.3.3.57.3,2.3.3.57.3,GA5,G26
Gastrointestinal,Stomach,"Non-traumatic perforation, rupture or fistula",Gastro-vascular fistula,3.3.57.4,1.3.3.57.4,2.3.3.57.4,GA39,G23
Gastrointestinal,Stomach,"Non-traumatic perforation, rupture or fistula",Gastro-enteric or gastro-cutaneous fistula,3.3.57.5,1.3.3.57.5,2.3.3.57.5,GA98,G26
Gastrointestinal,Stomach,Congenital or acquired deformity or abnormality,Congenital pyloric stenosis,3.3.8.1,1.3.3.8.1,2.3.3.8.1,GA22,G26
Gastrointestinal,Stomach,Congenital or acquired deformity or abnormality,Gastroschisis or exomphalos,3.3.8.2,1.3.3.8.2,2.3.3.8.2,GA40,G14
Gastrointestinal,Stomach,Congenital or acquired deformity or abnormality,Hiatus hernia,3.3.8.3,1.3.3.8.3,2.3.3.8.3,GA44,G14
Gastrointestinal,Duodenum,Haemorrhage,"Haemorrhage from duodenal ulcer, duodenitis or duodenal diverticulum",3.4.15.1,1.3.4.15.1,2.3.4.15.1,GA12,G23
Gastrointestinal,Duodenum,Haemorrhage,Duodenal or ampullary tumour,3.4.15.3,1.3.4.15.3,2.3.4.15.3,GA27,G02
Gastrointestinal,Duodenum,Haemorrhage,Haemorrhage from duodenal vascular abnormality,3.4.15.4,1.3.4.15.4,2.3.4.15.4,GA177,G23
Gastrointestinal,Duodenum,Haemorrhage,"Gastrointestinal haemorrhage, source not identified",3.4.15.5,1.3.4.15.5,2.3.4.15.5,GA173,G23
Gastrointestinal,Duodenum,Haemorrhage,Trauma related duodeno-vascular fistula,3.4.15.6,1.3.4.15.6,2.3.4.15.6,GA192,G03
Gastrointestinal,Duodenum,Haemorrhage,Non-trauma related duodeno-vascular fistula,3.4.15.7,1.3.4.15.7,2.3.4.15.7,GA193,G23
Gastrointestinal,Duodenum,Obstruction,Duodenal or ampullary tumour,3.4.30.1,1.3.4.30.1,2.3.4.30.1,GA27,G02
Gastrointestinal,Duodenum,Obstruction,Duodenal atresia,3.4.30.2,1.3.4.30.2,2.3.4.30.2,GA26,G14
Gastrointestinal,Duodenum,Obstruction,Meconium ileus,3.4.30.3,1.3.4.30.3,2.3.4.30.3,GA82,G26
Gastrointestinal,Duodenum,Tumour or malignancy,Duodenal or ampullary tumour,3.4.39.1,1.3.4.39.1,2.3.4.39.1,GA27,G02
Gastrointestinal,Duodenum,Trauma (or traumatic rupture or fistula),Traumatic duodenal rupture,3.4.56.1,1.3.4.56.1,2.3.4.56.1,GA146,G03
Gastrointestinal,Duodenum,Trauma (or traumatic rupture or fistula),Instrumental damage to duodenum,3.4.56.2,1.3.4.56.2,2.3.4.56.2,GA138,G03
Gastrointestinal,Duodenum,Trauma (or traumatic rupture or fistula),Trauma related duodeno-vascular fistula,3.4.56.3,1.3.4.56.3,2.3.4.56.3,GA192,G03
Gastrointestinal,Duodenum,Trauma (or traumatic rupture or fistula),Trauma related duodenal fistula,3.4.56.4,1.3.4.56.4,2.3.4.56.4,GA194,G03
Gastrointestinal,Duodenum,"Non-traumatic perforation, rupture or fistula",Non-traumatic duodenal rupture,3.4.57.1,1.3.4.57.1,2.3.4.57.1,GA86,G26
Gastrointestinal,Duodenum,"Non-traumatic perforation, rupture or fistula",Duodenal perforation due to ulcers,3.4.57.2,1.3.4.57.2,2.3.4.57.2,GA28,G26
Gastrointestinal,Duodenum,"Non-traumatic perforation, rupture or fistula",Leaking duodenal anastomosis,3.4.57.3,1.3.4.57.3,2.3.4.57.3,GA76,G26
Gastrointestinal,Duodenum,"Non-traumatic perforation, rupture or fistula",Non-trauma related duodeno-vascular fistula,3.4.57.4,1.3.4.57.4,2.3.4.57.4,GA193,G23
Gastrointestinal,Duodenum,"Non-traumatic perforation, rupture or fistula",Non-trauma related duodenal fistula,3.4.57.5,1.3.4.57.5,2.3.4.57.5,GA195,G26
Gastrointestinal,Duodenum,Congenital or acquired deformity or abnormality,Meconium ileus,3.4.8.1,1.3.4.8.1,2.3.4.8.1,GA82,G26
Gastrointestinal,Duodenum,Congenital or acquired deformity or abnormality,Duodenal atresia,3.4.8.2,1.3.4.8.2,2.3.4.8.2,GA26,G14
Gastrointestinal,Small bowel,Haemorrhage,Entero-vascular fistula,3.5.15.1,1.3.5.15.1,2.3.5.15.1,GA30,G23
Gastrointestinal,Small bowel,Haemorrhage,Small bowel arterio-venous malformation,3.5.15.2,1.3.5.15.2,2.3.5.15.2,GA7,G14
Gastrointestinal,Small bowel,Haemorrhage,Haemorrhage from small bowel vascular abnormality,3.5.15.3,1.3.5.15.3,2.3.5.15.3,GA178,G23
Gastrointestinal,Small bowel,Haemorrhage,"Gastrointestinal haemorrhage, source not identified",3.5.15.4,1.3.5.15.4,2.3.5.15.4,GA173,G23
Gastrointestinal,Small bowel,Infection,Infective enteritides,3.5.27.1,1.3.5.27.1,2.3.5.27.1,GA51,G01
Gastrointestinal,Small bowel,Infection,Necrotising enterocolitis,3.5.27.2,1.3.5.27.2,2.3.5.27.2,GA83,G01
Gastrointestinal,Small bowel,Inflammation,Crohn's disease of small bowel,3.5.28.1,1.3.5.28.1,2.3.5.28.1,GA23,G35
Gastrointestinal,Small bowel,Inflammation,Inflammatory perforation of small bowel,3.5.28.2,1.3.5.28.2,2.3.5.28.2,GA55,G26
Gastrointestinal,Small bowel,Inflammation,Coeliac disease,3.5.28.3,1.3.5.28.3,2.3.5.28.3,GA156,G25
Gastrointestinal,Small bowel,Inflammation,Radiation enteritis,3.5.28.4,1.3.5.28.4,2.3.5.28.4,GA179,G36
Gastrointestinal,Small bowel,Obstruction,Small bowel herniation,3.5.30.1,1.3.5.30.1,2.3.5.30.1,GA119,G26
Gastrointestinal,Small bowel,Obstruction,Small bowel volvulus,3.5.30.2,1.3.5.30.2,2.3.5.30.2,GA124,G26
Gastrointestinal,Small bowel,Obstruction,Small bowel adhesions,3.5.30.3,1.3.5.30.3,2.3.5.30.3,GA118,G26
Gastrointestinal,Small bowel,Obstruction,Small bowel intussusception,3.5.30.4,1.3.5.30.4,2.3.5.30.4,GA122,G26
Gastrointestinal,Small bowel,Obstruction,Small bowel tumour,3.5.30.5,1.3.5.30.5,2.3.5.30.5,GA123,G02
Gastrointestinal,Small bowel,Obstruction,Small bowel inflammatory masses,3.5.30.6,1.3.5.30.6,2.3.5.30.6,GA121,G26
Gastrointestinal,Small bowel,Obstruction,Functional obstruction or pseudo-obstruction,3.5.30.7,1.3.5.30.7,2.3.5.30.7,GA158,G26
Gastrointestinal,Small bowel,Obstruction,Gall stone ileus,3.5.30.8,1.3.5.30.8,2.3.5.30.8,GA180,G26
Gastrointestinal,Small bowel,Transplant (or related),Small bowel allograft,3.5.37.1,1.3.5.37.1,2.3.5.37.1,GA168,G33
Gastrointestinal,Small bowel,Tumour or malignancy,Small bowel tumour,3.5.39.1,1.3.5.39.1,2.3.5.39.1,GA123,G02
Gastrointestinal,Small bowel,Vascular,Visceral artery stenosis or occlusion,3.5.41.1,1.3.5.41.1,2.3.5.41.1,CA127,C12
Gastrointestinal,Small bowel,Vascular,Visceral artery embolism,3.5.41.2,1.3.5.41.2,2.3.5.41.2,CA126,G13
Gastrointestinal,Small bowel,Vascular,Visceral infarction due to primary vascular disease,3.5.41.3,1.3.5.41.3,2.3.5.41.3,CA128,C12
Gastrointestinal,Small bowel,Vascular,"Small bowel infarction due to herniation, volvulus or adhesions",3.5.41.4,1.3.5.41.4,2.3.5.41.4,GA120,G26
Gastrointestinal,Small bowel,Trauma (or traumatic perforation or fistula),Traumatic perforation of small bowel,3.5.56.1,1.3.5.56.1,2.3.5.56.1,GA133,G03
Gastrointestinal,Small bowel,Trauma (or traumatic perforation or fistula),Instrumental damage to small bowel,3.5.56.2,1.3.5.56.2,2.3.5.56.2,GA61,G03
Gastrointestinal,Small bowel,Trauma (or traumatic perforation or fistula),Trauma related entero-enteric or entero-cutaneous fistula,3.5.56.3,1.3.5.56.3,2.3.5.56.3,GA196,G03
